Gene,SRR1174401,SRR1174402,SRR1174403,SRR1174404,SRR1174405,SRR1174406,SRR1174407,SRR1174408,SRR1174409,SRR1174410,SRR1174411,SRR1174412,SRR1174413,SRR1174414,SRR1174415,SRR1174416,SRR1174417
Cre01.g000650,0.34945,1.497461,3.581732,92.815726,41.342108,51.910002,53.606954,27.28915,10.491281,53.544263,78.878022,40.158775,27.379245,14.654118,13.772689,5.329475,16.611269
Cre01.g000700,0.60219,0.274831,0.657043,1.551004,1.419903,1.273742,1.581107,1.671689,2.410235,1.669916,0.530086,1.109489,1.210621,1.387169,1.202305,0.48142,1.457356
Cre01.g000750,2.023962,2.237103,1.70108,1.311102,2.012882,3.061932,3.812621,2.852033,2.770854,2.132329,2.629439,2.795882,2.650131,2.232589,2.231915,2.006391,2.396395
Cre01.g000800,4.725475,1.46247,4.359094,4.983208,2.247079,1.923923,2.293145,3.726349,2.102828,1.159071,0.911057,2.981413,1.933572,3.292148,2.26565,0,2.982329
Cre01.g000850,54.7109,52.597819,57.648912,10.013802,10.142563,14.974114,23.534578,30.912541,26.902685,26.237928,34.326159,24.053641,17.16684,18.503894,16.380687,33.791841,16.483498
Cre01.g000900,39.264539,39.679476,38.251024,36.390463,39.35835,73.61051,78.087925,50.2655,41.2187,35.917593,19.092917,26.377179,27.678885,30.280482,27.568955,21.300383,32.45739
Cre01.g000950,0.213482,0.094386,0.027351,0.160804,0.239288,0.080055,0.094179,0.182984,0.125734,0.112207,0.063321,0.07089,0.251979,0.185911,0.130852,0.661341,0.213484
Cre01.g001000,1.602948,0.914453,1.059976,2.54465,5.217427,1.529063,0.494246,0.017728,0.009024,0.004026,0.005112,0.005723,0.0217,0,0.001878,0,0.003064
Cre01.g001100,44.997779,40.41254,44.236017,32.185729,35.215575,11.13985,7.004676,7.409081,11.738668,10.905365,10.737459,12.662179,11.538989,10.374956,9.285484,5.317605,13.710627
Cre01.g001150,1.9157,1.161713,1.566072,2.144866,2.563433,2.371242,3.219644,3.373328,3.042095,2.643148,2.509767,3.036545,3.173359,2.553676,2.561735,1.72121,2.740011
Cre01.g001200,1.70125,3.638539,2.594104,1.376145,1.170496,1.407916,1.23854,0.818893,0.818258,0.986684,0.979388,0.759727,0.538113,0.549798,0.516872,0,0.719616
Cre01.g001250,0.020453,0.030142,0.06289,0.041082,0.044461,0.075966,0.136846,0.114534,0.21772,0.038222,0.044488,0.052069,0.085834,0.102909,0.086175,0,0.111506
Cre01.g001300,0.304193,0.180376,0.612569,1.250788,1.702751,1.779126,1.799028,1.471159,1.489488,1.284094,2.164383,1.172926,1.090378,1.269475,1.220979,0.886918,0.938435
Cre01.g001350,2.644082,2.029226,3.451526,3.532339,4.236272,1.464563,1.287503,1.479535,1.332014,1.072166,0.525308,1.333577,1.381826,1.086133,0.907842,0.61819,1.05986
Cre01.g001400,2.413983,8.237384,1.627355,1.000685,3.535072,2.77038,1.411589,0.577686,1.603058,0.86668,1.013951,0.511087,0.479344,0.489107,0.4643,0.401514,0.81799
Cre01.g001450,1.328327,1.070163,1.300976,1.778763,4.435601,5.654816,1.985892,0.738798,0.687689,0.393045,0.38524,0.588121,0.613208,0.651222,0.482479,0,0.461803
Cre01.g001501,0.489269,0.176258,0.371468,0.081897,0.408692,0.838737,0.923334,0.776611,0.649851,0.673063,0.741736,0.330955,0.581775,0.336656,0.428487,0.449093,0.438131
Cre01.g001550,12.899763,11.23696,11.747236,14.593061,9.056264,15.680953,19.822677,23.149538,15.527755,17.542703,25.161927,18.201147,17.267404,16.565293,14.699207,8.31918,16.138447
Cre01.g001600,7.595752,5.145223,2.714165,4.304212,4.51614,5.06212,5.272319,2.986513,2.380479,1.36741,1.012808,3.447892,2.215324,2.40721,2.171726,3.454039,3.171509
Cre01.g001650,0.166571,0.44187,0.55487,0.376406,0.316835,0.374781,0.477646,0.356936,0.174409,0.165373,0.135869,0.138281,0.209716,0.120882,0.190583,0,0.103645
Cre01.g001657,1.234345,2.728664,1.644706,1.48762,2.314304,1.322498,1.388577,0.719442,1.550912,0.547855,0.36612,0.94273,0.77703,0.573296,0.605262,0,0.855821
Cre01.g001664,2.6272,0.844761,4.773571,5.217158,2.72574,2.917183,2.397039,1.760553,0.812743,0.390547,0.425048,0.079309,0.375874,0.207991,0.442429,0,0.212301
Cre01.g001671,0,0,0,3.626131,11.772949,11.34721,5.309348,4.126275,4.410476,3.373685,6.425502,0,3.030467,4.192296,3.934268,59.652823,6.846673
Cre01.g001678,5.060683,4.381181,6.132603,6.35386,7.546478,9.165402,9.54599,6.890483,5.765485,5.642531,5.195964,5.625128,5.9587,5.46026,4.62988,2.946958,5.240022
Cre01.g001685,8.317457,14.899725,9.72863,12.412214,13.62966,22.03333,19.386881,9.642033,5.010141,4.777417,2.774701,3.691246,5.679421,3.726732,2.883188,2.910087,3.517503
Cre01.g001700,1.846953,2.07857,2.441615,2.102617,2.483682,2.936802,3.819357,8.214085,4.570944,3.728615,5.154541,4.62072,4.90172,5.099425,4.532851,3.120882,4.917792
Cre01.g001750,28.294329,20.942229,17.650814,2.849586,7.881113,11.906456,16.367733,21.198645,27.211923,23.428151,27.105804,18.634082,15.702912,18.508711,15.037852,18.555881,18.194015
Cre01.g001800,7.235263,10.028441,8.376062,3.633278,7.29,8.080854,8.16877,4.182243,4.533952,4.898225,7.27767,2.932071,2.747852,3.598825,2.975521,2.963821,3.42654
Cre01.g001950,1.578319,0.949024,2.005972,1.141305,1.83558,1.975132,2.18634,2.359346,2.214467,1.504286,1.6666,1.509421,1.947388,1.246196,1.513465,1.564616,1.459083
Cre01.g001983,11.273949,10.628252,7.571656,7.901749,4.195031,4.059673,4.057687,6.766404,5.908791,2.679375,2.588541,2.21594,3.914434,3.632197,4.498632,0,3.497337
Cre01.g002050,3.611308,5.19214,8.194069,7.641466,3.363368,1.98482,2.535669,1.8147,4.170908,3.039559,0.735906,0.878795,1.544489,1.648478,1.363779,0,1.578087
Cre01.g002100,2.82401,2.990739,3.281563,3.56177,2.083481,1.379153,1.789073,1.891417,2.509921,1.024058,0.574654,2.284414,2.397879,2.440228,2.358022,4.069029,2.443121
Cre01.g002150,1.994114,0.944619,2.11689,3.540555,7.856926,3.448965,1.052519,0.146505,0.037285,0.016637,0,0,0,0,0.023281,0,0.025322
Cre01.g002200,63.180229,51.619721,60.591738,35.0664,63.35038,72.363529,67.236065,23.941816,29.40141,23.04473,34.6305,19.384974,22.561001,22.308539,18.922462,45.783408,24.960331
Cre01.g002201,0.726096,0.121487,0.522929,0.472985,0.682522,0.79052,1.112343,0.497819,0.421175,0.224619,0.273583,0.254116,0.333556,0.330372,0.292928,0,0.296527
Cre01.g002203,0.056367,0.033228,0.057774,0.084916,0.153165,0.144942,0.116045,0.115954,0.127875,0.175565,0.066876,0.106066,0.16559,0.141808,0.098274,0,0.143633
Cre01.g002227,3.511746,2.374603,3.811141,1.7116,2.217206,3.364157,3.850296,2.372625,3.163294,1.688953,1.439888,1.749192,1.560475,2.458559,2.115908,0,2.460541
Cre01.g002234,8.933999,8.080499,6.051174,20.342315,20.312816,21.035137,31.031705,19.169834,23.30398,14.260596,7.279197,14.014793,16.289107,22.296869,15.749055,47.083555,17.917805
Cre01.g002250,4.476529,2.189729,6.443114,5.739434,5.072644,11.02112,19.580451,30.1735,21.117204,20.825462,22.431102,20.399818,20.865284,19.5196,18.702214,23.604595,15.66271
Cre01.g002300,896.586768,878.58096,859.605861,681.052106,639.57202,202.429281,162.150638,157.804263,233.247495,197.205176,143.561113,158.750452,223.135415,227.055726,191.42713,202.876665,269.817707
Cre01.g002350,10.503065,7.044449,9.593528,12.808882,10.406346,6.782517,7.296977,5.487278,6.583409,5.850083,3.581558,5.421357,5.464828,4.10664,3.667029,2.656091,5.036439
Cre01.g002400,8.758237,6.306189,10.515765,23.938005,9.519442,14.263259,14.461496,9.265794,5.633219,5.553254,1.484449,10.469894,10.317905,8.498793,7.062251,12.403142,7.073388
Cre01.g002451,8.793985,5.120816,7.841023,13.894275,7.382424,9.437344,13.136779,7.133191,4.472888,4.158678,1.208766,6.505104,6.931112,5.14701,5.679405,8.859387,5.516353
Cre01.g002500,426.479961,442.355985,357.755244,30.11119,55.801874,110.183932,138.941855,94.060552,119.08145,97.545174,103.834433,60.189994,85.919901,89.982253,73.031316,124.546069,75.18993
Cre01.g002550,8.151444,17.288484,7.3257,7.563798,10.705724,12.783956,13.732807,8.890581,8.906097,7.533961,8.77768,5.413618,6.65595,6.035605,5.490339,5.85556,7.277301
Cre01.g002600,0.038177,0.168791,0.078261,0.115027,0.010374,0.065446,0.084211,0.052357,0.039974,0.035673,0.101914,0.114096,0.072099,0.066494,0.058241,0.946148,0.027149
Cre01.g002650,0,0,0.038888,0.228628,0.164952,0.03252,0.025107,0.013008,0,0,0,0,0,0,0,0,0.01349
Cre01.g002700,1.160996,0.701731,0.828466,1.859724,2.344102,1.801308,2.051968,1.466246,1.72342,1.091707,0.871807,1.210259,1.221178,1.313944,1.202647,0.364214,1.329851
Cre01.g002750,0.10496,0.046405,0.05379,0.314692,0.183706,0.133182,0.241051,0.249079,0.272052,0.12091,0.108047,0.120961,0.064777,0.180418,0.119306,0,0.119824
Cre01.g002787,0.391659,0.350129,0.291152,0.602997,0.679482,0.649274,0.668348,0.712729,0.802151,0.908888,0.302553,0.534517,0.709855,0.674657,0.596553,0.746651,0.582282
Cre01.g002824,0.56239,0.497292,0.448334,0.753097,0.832006,0.803406,0.827008,1.028364,1.16135,1.153182,0.426295,0.747001,0.708059,0.725568,0.735384,0,0.511017
Cre01.g002861,1.348661,0.903632,1.268321,2.105051,2.852415,1.713118,1.912189,1.925851,2.336552,2.74937,0.84748,1.648247,1.999948,2.122948,1.677913,1.378301,1.696888
Cre01.g002900,109.85435,253.253566,160.852406,17.731523,21.321807,84.071285,47.597614,0,1.026996,1.833009,5.818564,0,0,2.277781,0,0,1.394989
Cre01.g002950,2.981611,3.171418,4.69479,3.775683,4.978546,4.796452,5.366283,2.800103,2.658149,2.251034,2.999193,2.238461,2.502599,2.006987,1.680989,1.070915,2.120277
Cre01.g003000,1.371216,1.077772,0.80683,1.683179,2.270088,0.837956,0.997,0.670368,0.638106,0.628772,0.45944,0.674567,0.767282,0.810826,0.755387,0.629311,0.78098
Cre01.g003050,0.966041,1.053906,0.78441,1.247424,2.587506,1.693689,1.54973,1.311942,1.668315,0.870435,0.513535,0.679071,0.623926,0.801217,0.792916,0,0.778416
Cre01.g003100,0,0.026271,0,0.044757,0.048958,0.025739,0.006694,0,0.031108,0.020969,0,0.010078,0,0,0.003237,0,0.010677
Cre01.g003150,2.146797,0.632766,4.249026,5.538901,3.178227,3.881113,4.778918,3.967846,3.04876,2.709224,2.415307,3.318561,3.417402,2.678959,2.554407,1.83462,2.640888
Cre01.g003200,1.975757,0.436764,1.104588,1.352933,0.951722,0.865988,1.158857,1.431773,1.187167,1.269234,1.944555,2.505032,2.544046,2.007356,1.487473,1.112843,2.083546
Cre01.g003250,0.772816,0.924546,0.838703,0.547877,1.383503,1.246883,1.273486,1.013096,1.225671,1.104424,0.943869,1.071787,0.972988,1.082091,0.792578,1.126627,0.93749
Cre01.g003300,0,0,0,0,0,0,0,0,0.031952,0.014257,0,0,0,0,0,0,0
Cre01.g003376,3.276569,1.101451,8.271011,3.345133,5.702568,8.077215,10.853059,5.46839,5.975456,5.028939,8.048006,4.783752,5.966279,6.084118,5.41753,2.013299,5.685459
Cre01.g003450,2.626694,0.802669,2.672293,2.851386,3.049119,3.046012,3.063088,2.204998,1.65815,1.385067,1.901984,1.333948,1.70217,1.681866,1.412104,0.478382,1.651526
Cre01.g003463,6.253003,3.455749,5.521352,16.007757,19.132294,7.233728,4.832134,3.37515,3.566696,3.261923,2.462499,2.939233,3.803334,3.961432,3.445986,3.664781,4.018485
Cre01.g003475,0,0,0,0.048785,0.052797,0.027757,0.014286,0.011103,0.008477,0.01513,0,0,0.040771,0.037601,0.010586,0,0.034543
Cre01.g003487,3.800813,2.228779,4.346775,3.917706,5.751,4.54378,5.400918,3.168656,3.34082,2.859892,3.916097,2.949368,2.493387,2.624727,2.406505,4.957651,2.617474
Cre01.g003500,2.053185,1.268742,0.836853,2.043977,2.045664,1.893644,2.300197,2.04185,1.813499,1.77546,1.18594,1.730393,1.715771,1.435992,1.413681,0.595134,1.598805
Cre01.g003508,2.313672,2.707752,2.092437,1.127668,1.109453,2.303925,2.611772,2.939704,2.369103,1.573741,2.280804,2.237078,2.141876,1.817328,2.068815,0,1.887248
Cre01.g003516,5.351402,9.51831,5.075193,2.40928,4.003028,6.353073,7.041723,6.959411,6.279462,4.605233,6.714022,6.178695,5.633948,6.053001,5.110729,5.33543,5.970664
Cre01.g003524,8.009583,20.748578,9.741589,6.543013,9.824588,15.652358,16.043759,10.771767,8.10594,8.044193,10.222317,7.876089,8.202289,8.776251,7.277261,4.892633,7.601029
Cre01.g003532,1.618548,2.628536,1.398724,1.051825,1.489013,1.917754,2.034763,1.204155,1.027348,0.778431,1.098218,0.9309,1.005571,0.976526,0.842648,0.262172,0.929058
Cre01.g003541,0,0,0,0,0,0,0.330482,0,0.392188,0,0,0,0,0,0.48978,0,0
Cre01.g003550,3.671729,2.157356,3.68911,3.457134,3.623272,5.238368,6.713683,12.845441,8.213829,11.05444,12.108778,9.296801,7.952987,6.956029,6.93326,2.394639,6.85396
Cre01.g003600,1.685505,0.745201,1.727581,0,2.289997,1.444703,0.371786,8.379311,4.412042,4.134231,4.749417,2.518638,6.366238,0.489275,3.765119,0,4.3449
Cre01.g003650,9.162909,9.35978,9.585612,9.644131,16.067162,9.008009,7.332922,7.790163,14.180534,10.462336,6.150514,6.75172,8.606389,9.699155,8.013766,9.612101,10.563314
Cre01.g003700,0.754134,0.180838,0.786061,1.52121,2.459034,1.172273,1.133407,1.21391,1.070671,0.907706,0.534567,0.916797,0.997745,1.076012,0.987501,0.316774,0.93167
Cre01.g003751,0.222008,0.310824,0.3034,0.204387,0.150815,0.129503,0.116984,0.522243,0.096856,0.057624,0.234133,0.174064,0.186341,0.186175,0.128349,0.152834,0.124983
Cre01.g003800,2.517311,1.207527,3.212541,3.965801,3.460359,3.878167,4.672571,4.518436,3.105204,2.590482,3.57226,2.917492,3.319518,3.219052,2.797718,2.446525,2.528669
Cre01.g003826,83.689718,40.364925,187.153953,149.000706,142.647214,169.551338,157.750424,133.033128,137.416222,94.195591,173.762776,98.529684,86.209172,154.596681,139.278285,0,112.263653
Cre01.g003850,6.329705,1.509723,1.365835,2.258437,2.059425,1.24927,0.532759,2.741267,1.52608,0.768497,0.555826,2.240155,1.8088,1.90994,1.615417,0,1.776776
Cre01.g003950,0.151273,0.528375,0.581571,0.068287,0.129496,0.149114,0.09009,0.11942,0.164377,0.155525,0.154798,0.173302,0.171543,0.180158,0.188759,0.751499,0.418256
Cre01.g004000,37.548903,39.816539,25.299726,16.677111,23.983377,24.362709,26.464346,23.080555,38.845856,34.247186,36.207646,19.969751,23.072315,21.365415,16.398957,14.829843,19.20182
Cre01.g004050,0,0.608067,0.704833,0,0.186858,0,0,0.471539,0,0,0,0,0,0,0.074933,0,0
Cre01.g004124,4.52774,5.108367,8.777021,4.094876,3.876055,4.00096,4.018235,2.858101,5.238271,4.446567,1.780857,1.860504,2.774073,3.072773,2.666524,3.002119,3.016481
Cre01.g004157,0.85845,0.340278,0.561302,1.761487,1.57856,1.785598,1.922938,0.979387,1.503239,0.814241,0.23926,1.457252,1.80289,1.512349,1.119286,1.100427,1.560354
Cre01.g004200,2.185823,4.46427,2.319694,1.573605,3.400756,3.083883,2.850206,1.876865,1.908918,1.06189,1.899114,1.869186,1.838717,1.965293,1.593503,1.438172,1.967044
Cre01.g004250,107.198461,188.042652,159.169539,74.199555,113.838693,107.528398,82.056901,35.362831,27.605632,26.259946,38.327305,37.328592,40.85417,34.313869,27.213776,43.081529,44.605291
Cre01.g004300,80.819121,79.877358,97.711563,49.303551,30.049025,29.74953,40.088211,26.630301,45.770728,35.821665,36.863649,23.173669,28.456245,35.249822,34.593079,38.535652,38.838966
Cre01.g004350,11.906758,16.012946,11.716759,11.901419,11.157833,11.301918,14.150471,15.716036,18.824978,18.703295,11.749853,11.087225,11.998347,12.353452,10.840801,7.292966,13.00651
Cre01.g004400,33.878017,22.199926,22.012362,30.986636,148.933686,78.687747,32.02613,8.504015,7.759532,4.027635,9.6897,8.236389,6.093285,7.726901,6.592113,7.496404,9.679527
Cre01.g004450,62.874411,59.055064,55.223369,4.566571,2.205341,2.388671,4.292194,7.509676,9.316951,7.035403,6.23574,7.435694,6.709513,7.436815,5.370172,7.270047,6.188631
Cre01.g004500,115.953375,111.072339,115.826797,81.226937,70.91413,80.069725,97.586046,95.695371,114.726572,110.826257,84.563457,62.145573,83.070572,92.145347,94.488878,79.792863,101.845259
Cre01.g004550,7.063304,17.981261,6.455719,2.326964,4.45799,5.835677,5.190069,1.820122,1.122697,0.756687,2.197356,1.259884,1.491577,1.697752,1.338337,1.48662,1.930222
Cre01.g004600,7.373059,6.729406,7.836783,7.416862,7.47392,5.895163,6.298628,6.538344,8.876756,8.161447,9.864924,7.30167,7.479268,6.904682,6.555335,3.381096,7.974343
Cre01.g004651,11.818181,10.450188,10.273222,10.366852,10.731545,29.940488,22.999562,13.386722,10.768761,10.169318,3.106048,6.904964,9.04058,10.335303,9.405764,14.829843,11.888107
Cre01.g004700,9.34566,5.423164,5.837178,2.639835,4.563128,0.876146,0.450943,1.501971,1.949439,2.421941,2.338893,3.103366,2.114265,1.61078,1.941264,0,1.635506
Cre01.g004750,2.571432,1.462277,0.61115,0.980136,2.112627,2.449598,2.41144,7.935383,14.057781,13.608651,4.29551,7.959711,11.545123,10.651654,8.529752,11.756315,11.943152
Cre01.g004800,25.196254,40.599464,34.21728,26.781746,30.188666,43.65838,41.61829,49.552075,32.823395,83.374466,73.030741,50.441098,37.759466,31.252189,26.987311,20.17931,33.100747
Cre01.g004850,0.670608,0.58386,0.697923,0.652785,0.855047,0.8003,1.244819,0.873701,1.296302,0.884498,0.333556,0.647501,0.526068,0.69481,0.672282,0.767061,0.78502
Cre01.g004900,65.706961,80.421887,75.928149,63.443226,59.043728,83.718377,86.933294,45.751735,122.423348,112.985761,105.197493,69.500612,69.949929,63.996187,53.2983,53.442108,63.34539
Cre01.g004926,654.496728,676.551256,689.731933,763.795989,914.274857,699.263489,10.166756,192.792072,149.606448,129.203913,221.47298,128.564623,232.118988,219.424788,195.874748,0,281.876735
Cre01.g004950,40.788363,32.194757,33.470911,50.326357,63.270291,46.596888,47.413836,34.231961,52.27103,42.11705,44.088134,42.835161,47.808918,41.404375,37.056367,24.806283,46.955727
Cre01.g005001,11.448821,6.031071,11.609786,23.669451,23.166783,24.689513,29.928253,23.593457,21.424549,21.822453,17.737851,19.251427,23.231491,21.213234,18.009741,6.036927,19.097792
Cre01.g005050,156.069345,126.673452,173.051048,316.787847,352.694719,198.531691,179.060131,112.449828,130.054842,122.560719,123.880186,163.575344,167.426091,142.642223,113.741546,106.815036,143.041258
Cre01.g005100,2.638846,1.85062,3.077785,4.797882,5.2666,5.030651,4.315367,3.650161,3.048846,2.508264,1.754349,2.568372,3.093223,4.120627,3.212593,4.510233,4.076601
Cre01.g005126,28.185479,0,11.555634,8.492215,13.785823,7.247615,3.730267,11.596231,13.280286,10.534664,10.032133,9.35941,3.548599,13.090858,10.442369,0,12.02592
Cre01.g005150,34.92802,122.253081,96.392369,110.604961,91.18656,100.8471,123.148183,120.199736,82.732638,86.680111,72.996458,97.669622,105.230323,99.962739,90.365135,79.59719,92.589139
Cre01.g005200,0.954104,0.185606,0.586753,1.494839,1.892575,3.320244,3.796604,3.454376,3.896096,2.991048,0.747113,2.116387,3.171254,2.725294,2.322595,0,2.601972
Cre01.g005250,0,0,0,0,0,0,0,0.113023,0,0,0,0,0,0,0,0,0
Cre01.g005300,0,0,0,0,0,0,0,0.031991,0.024425,0,0,0.030984,0.058738,0,0,0,0.033177
Cre01.g005350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cre01.g005400,0.093785,0.331716,0.769009,0.282572,0.152904,0.080386,0.165496,0.032155,0,0,0,0,0,0,0.010219,0,0.033346
Cre01.g005450,33.772413,65.067669,57.692476,22.95702,30.738946,34.831096,30.918327,9.507986,9.882553,7.600648,8.917799,7.613187,8.81513,9.325359,6.642089,13.609432,10.05555
Cre01.g005500,5.542756,4.070458,5.835186,10.189944,10.976831,10.93508,12.101796,6.429016,6.556067,7.307911,6.537148,7.518199,7.345086,7.395816,6.029534,5.122116,7.345318
Cre01.g005534,5.898405,4.172516,10.076081,7.108699,8.975474,11.291108,7.893107,1.348197,0.926393,1.194158,0.583176,1.175192,0.495079,1.369769,0.856975,0,0.559262
Cre01.g005543,4.960186,4.386029,5.084009,0,4.043468,2.125771,1.094111,0,0,0,0,0,0,0,0,0,0
Cre01.g005550,16.065694,14.395452,21.955664,15.167068,19.499246,17.626168,14.505739,13.954107,17.606676,14.86175,7.878554,13.514964,11.731648,13.679922,9.500082,5.308738,10.548717
Cre01.g005600,4.320924,4.245293,4.592819,8.920315,4.870412,4.938145,4.377215,4.005401,5.194504,3.028121,1.471503,2.338238,4.533431,3.066052,2.633204,3.966121,2.503671
Cre01.g005651,0,0,0.054413,0.55983,0.851098,0.705298,0.854828,0.455033,0.486374,0.260428,0.047239,0.423084,0.668381,0.647239,0.352872,0,0.528521
Cre01.g005701,0.508796,0.809823,1.355894,2.452786,6.027891,3.35802,1.660998,0.645441,0.51942,0.190169,0.498017,0.574442,0.704642,0.64986,0.720746,1.260948,0.841219
Cre01.g005750,0,0.15324,0.059209,0.087025,0.141272,0.099028,0.127421,0.376307,0.045364,0.067472,0.531162,0.172641,0.290918,0.2683,0.176251,0,0.174586
Cre01.g005813,3.862172,3.807011,4.283059,6.676754,15.423639,10.392475,5.013713,1.291603,3.124083,2.69923,0.676069,1.240443,1.574347,1.801153,1.448824,0,2.003565
Cre01.g005850,11.571393,14.417771,49.956827,34.600195,56.120532,21.865185,14.81166,5.83074,14.135199,16.791939,6.916397,5.705462,9.602018,9.059087,8.749876,8.690099,9.163696
Cre01.g005900,2.764302,2.237179,5.330461,7.48178,7.053067,7.891226,6.882892,4.770898,4.280243,4.421709,3.641006,3.873967,4.011197,3.427336,3.354236,3.483436,4.173043
Cre01.g005950,18.162994,9.772064,15.627291,19.885858,18.045485,21.904988,21.758521,17.331104,16.098041,18.465576,19.212301,22.749021,16.812455,15.119226,11.852693,15.21575,15.708441
Cre01.g006000,1.459131,1.827828,3.396157,7.327207,6.23641,7.347684,6.899721,4.950587,3.747859,3.117401,3.200869,3.57338,3.329689,2.894339,3.040817,1.506732,3.102033
Cre01.g006050,3.977935,2.537608,3.392844,4.47313,4.875709,6.112964,7.922094,6.166568,7.240609,6.863181,5.271613,5.165791,5.303418,5.38599,4.682952,1.760446,5.571688
Cre01.g006100,2.173097,1.281036,5.939585,0,0.688907,1.552195,4.314046,6.457156,5.972798,6.51469,9.023887,3.848583,5.699927,5.256788,4.420185,0,3.026267
Cre01.g006150,5.747779,4.224378,5.585223,3.710982,2.697713,7.197974,11.830398,16.353864,13.140476,12.511418,19.417599,14.376739,15.483399,14.929706,12.729706,10.174781,13.336966
Cre01.g006202,1.155667,0.766421,0.699942,0.672658,1.284658,1.55338,1.08339,0.810462,0.983163,0.95715,0.966025,0.723904,1.074719,0.991165,0.835714,1.952785,0.873179
Cre01.g006250,0,0.16786,0,0.285982,0.361082,0.325426,0,0.260342,0.198766,0.044345,0.33784,0.315186,0.478008,0.220423,0.268913,0,0.269988
Cre01.g006301,43.352061,15.333568,35.54742,52.247473,44.763922,115.191358,34.425124,139.716536,267.812749,263.304563,136.301997,184.264971,169.201024,191.282855,175.730604,1074.392052,200.384791
Cre01.g006352,187.80305,110.709494,174.158746,188.615307,136.083714,337.275251,333.375218,499.782627,648.444196,649.709206,485.423767,424.661066,529.191361,404.977271,429.750752,221.633998,440.397424
Cre01.g006402,0.387689,0,0,0.292024,0.421384,0.415376,0,0.265842,0.405931,0.498105,0.229985,0.450582,0.488106,0.562698,0.443575,0,0.620308
Cre01.g006450,0.195928,0.080349,0.345622,0.547561,0.378657,0.456965,0.454881,0.632091,0.446164,0.863817,0.324055,0.458025,0.692684,0.583996,0.422512,0,0.366243
Cre01.g006500,0.200756,0.078897,0.045726,0.201624,0.436409,0.296351,0.157449,0.122365,0.140135,0.145901,0.10586,0.192585,0.196587,0.142453,0.221188,0,0.210176
Cre01.g006550,0.236274,0.417849,0.242172,0,0.256809,0.303777,0,0,0.371087,0.110388,0.070081,0.078458,0.297473,0.137173,0.12873,0,0.126014
Cre01.g006576,0.131658,0.033262,0.096389,0.170006,0.28109,0.266,0.12861,0.058037,0.05908,0.127415,0.072523,0.037473,0.248639,0.20747,0.182404,0,0.213998
